part,ebay_low,ebay_avg,google_low,google_avg,offerup_low,offerup_avg,craigslist_low,craigslist_avg,best_deal,ebay_url,google_url,offerup_url,craigslist_url,image_url
Front Door,20.0,210.69,0,0,0,0,0,0,eBay,https://www.ebay.com/sch/i.html?_nkw=2004+BMW+645i+Front+Door+used&LH_ItemCondition=3000,https://www.google.com/search?q=2004+BMW+645i+Front+Door+used,https://offerup.com/search/?q=2004%20BMW%20645i%20Front%20Door,https://craigslist.org/search/sss?query=2004+BMW+645i+Front+Door,saved_images/front_door_20250427205711.jpg
Rear Door,15.99,92.23,0,0,0,0,0,0,eBay,https://www.ebay.com/sch/i.html?_nkw=2004+BMW+645i+Rear+Door+used&LH_ItemCondition=3000,https://www.google.com/search?q=2004+BMW+645i+Rear+Door+used,https://offerup.com/search/?q=2004%20BMW%20645i%20Rear%20Door,https://craigslist.org/search/sss?query=2004+BMW+645i+Rear+Door,saved_images/rear_door_20250427205722.jpg
Trunk Lid,12.99,182.15,0,0,0,0,0,0,eBay,https://www.ebay.com/sch/i.html?_nkw=2004+BMW+645i+Trunk+Lid+used&LH_ItemCondition=3000,https://www.google.com/search?q=2004+BMW+645i+Trunk+Lid+used,https://offerup.com/search/?q=2004%20BMW%20645i%20Trunk%20Lid,https://craigslist.org/search/sss?query=2004+BMW+645i+Trunk+Lid,saved_images/trunk_lid_20250427205731.jpg
Struts,15.0,106.75,0,0,0,0,0,0,eBay,https://www.ebay.com/sch/i.html?_nkw=2004+BMW+645i+Struts+used&LH_ItemCondition=3000,https://www.google.com/search?q=2004+BMW+645i+Struts+used,https://offerup.com/search/?q=2004%20BMW%20645i%20Struts,https://craigslist.org/search/sss?query=2004+BMW+645i+Struts,saved_images/struts_20250427205741.jpg
Drive Shaft,10.0,76.6,0,0,0,0,0,0,eBay,https://www.ebay.com/sch/i.html?_nkw=2004+BMW+645i+Drive+Shaft+used&LH_ItemCondition=3000,https://www.google.com/search?q=2004+BMW+645i+Drive+Shaft+used,https://offerup.com/search/?q=2004%20BMW%20645i%20Drive%20Shaft,https://craigslist.org/search/sss?query=2004+BMW+645i+Drive+Shaft,saved_images/drive_shaft_20250427205750.jpg
Cylinder Head,8.4,97.65,0,0,0,0,0,0,eBay,https://www.ebay.com/sch/i.html?_nkw=2004+BMW+645i+Cylinder+Head+used&LH_ItemCondition=3000,https://www.google.com/search?q=2004+BMW+645i+Cylinder+Head+used,https://offerup.com/search/?q=2004%20BMW%20645i%20Cylinder%20Head,https://craigslist.org/search/sss?query=2004+BMW+645i+Cylinder+Head,saved_images/cylinder_head_20250427205759.jpg
Valve Cover,20.0,88.05,47.21,244.64,0,0,0,0,eBay,https://www.ebay.com/sch/i.html?_nkw=2004+BMW+645i+Valve+Cover+used&LH_ItemCondition=3000,https://www.google.com/search?q=2004+BMW+645i+Valve+Cover+used,https://offerup.com/search/?q=2004%20BMW%20645i%20Valve%20Cover,https://craigslist.org/search/sss?query=2004+BMW+645i+Valve+Cover,saved_images/valve_cover_20250427205808.jpg
Timing Cover,20.0,90.4,14.0,61.79,0,0,0,0,Google,https://www.ebay.com/sch/i.html?_nkw=2004+BMW+645i+Timing+Cover+used&LH_ItemCondition=3000,https://www.google.com/search?q=2004+BMW+645i+Timing+Cover+used,https://offerup.com/search/?q=2004%20BMW%20645i%20Timing%20Cover,https://craigslist.org/search/sss?query=2004+BMW+645i+Timing+Cover,saved_images/timing_cover_20250427205818.jpg
Mass Airflow Sensor,11.07,39.34,0,0,0,0,0,0,eBay,https://www.ebay.com/sch/i.html?_nkw=2004+BMW+645i+Mass+Airflow+Sensor+used&LH_ItemCondition=3000,https://www.google.com/search?q=2004+BMW+645i+Mass+Airflow+Sensor+used,https://offerup.com/search/?q=2004%20BMW%20645i%20Mass%20Airflow%20Sensor,https://craigslist.org/search/sss?query=2004+BMW+645i+Mass+Airflow+Sensor,saved_images/mass_airflow_sensor_20250427205827.jpg
Throttle Body,9.99,46.79,0,0,0,0,0,0,eBay,https://www.ebay.com/sch/i.html?_nkw=2004+BMW+645i+Throttle+Body+used&LH_ItemCondition=3000,https://www.google.com/search?q=2004+BMW+645i+Throttle+Body+used,https://offerup.com/search/?q=2004%20BMW%20645i%20Throttle%20Body,https://craigslist.org/search/sss?query=2004+BMW+645i+Throttle+Body,saved_images/throttle_body_20250427205837.jpg
Power Window Motor,9.99,111.53,0,0,0,0,0,0,eBay,https://www.ebay.com/sch/i.html?_nkw=2004+BMW+645i+Power+Window+Motor+used&LH_ItemCondition=3000,https://www.google.com/search?q=2004+BMW+645i+Power+Window+Motor+used,https://offerup.com/search/?q=2004%20BMW%20645i%20Power%20Window%20Motor,https://craigslist.org/search/sss?query=2004+BMW+645i+Power+Window+Motor,saved_images/power_window_motor_20250427205847.jpg
Washer Bottle,10.0,40.48,0,0,0,0,0,0,eBay,https://www.ebay.com/sch/i.html?_nkw=2004+BMW+645i+Washer+Bottle+used&LH_ItemCondition=3000,https://www.google.com/search?q=2004+BMW+645i+Washer+Bottle+used,https://offerup.com/search/?q=2004%20BMW%20645i%20Washer%20Bottle,https://craigslist.org/search/sss?query=2004+BMW+645i+Washer+Bottle,saved_images/washer_bottle_20250427205856.jpg
Side Skirts,20.0,121.66,0,0,0,0,0,0,eBay,https://www.ebay.com/sch/i.html?_nkw=2004+BMW+645i+Side+Skirts+used&LH_ItemCondition=3000,https://www.google.com/search?q=2004+BMW+645i+Side+Skirts+used,https://offerup.com/search/?q=2004%20BMW%20645i%20Side%20Skirts,https://craigslist.org/search/sss?query=2004+BMW+645i+Side+Skirts,saved_images/side_skirts_20250427205905.jpg
Front Fenders,15.0,98.01,0,0,0,0,0,0,eBay,https://www.ebay.com/sch/i.html?_nkw=2004+BMW+645i+Front+Fenders+used&LH_ItemCondition=3000,https://www.google.com/search?q=2004+BMW+645i+Front+Fenders+used,https://offerup.com/search/?q=2004%20BMW%20645i%20Front%20Fenders,https://craigslist.org/search/sss?query=2004+BMW+645i+Front+Fenders,saved_images/front_fenders_20250427205914.jpg
